,titles,salary,company,job_desc,location
399,"Analyst l, Global Compliance Data",Full-time,Shure," Overview:     The Data Business Analyst I, Global Compliance, collaborates with Global Compliance, Marketing, Legal, IT and other stakeholders to consolidate, assess, and improve Global Compliance related data using the best practices for business continuity.  Responsibilities:  Facilitates SAP and business process enhancement projects to ensure systems are aligned with current business objectives compliance data strategy. Guides projects and ensures tasks are completed on time and business requirements are delivered. Ensures the quality, and strength of all necessary compliance data including maintenance of certifications and status of ongoing campaigns Creates and maintains dashboards for key stakeholders to consume important compliance data insights. Contributes to process improvements related to Global Compliance and documents those processes into procedures. Lead trainings for new processes or compliance tools to key stakeholders. Prepare ad hoc data strategies and automated reporting for time sensitive regulations Create autonomous data workflows to make data more efficient to leverage for country audits. Other duties as assigned. Qualifications:  Minimum Bachelor Degree in Business, Engineering, or Data Analytics required or equivalent experience Entry level to 2 years of professional experience in data analysis. Experience within a Product Compliance group is helpful. Capable of flexible and agile problem-solving and critical thinking. Effective self-starter, with strong project management skills is highly desired Able to handle large data sets and summarize the data into consumable insights for key stakeholders Able to exercise judgment within defined procedures and practices to determine appropriate action. Able to work in a cross-functional and global team environment Proficiency in Microsoft Office, Excel and PowerPoint required. Preferred experience in data visualization software such as Tableau Excellent communication skills - both formal and informal (i.e., with all levels of management and cross divisionally). Demonstrated strong leadership, with a natural curiosity to drive improvements to data strategy Preferred experience working in and excelling in a multifunctional team environment. Exercises judgment in selecting methods, techniques, and evaluation criteria for obtaining results.","Niles, IL 60714"
400,Data Analyst (hybrid schedule eligible),Full-time,EMPRISE BANK,"Description At Emprise Bank, everything we do is focused on empowering the neighborhoods, businesses, and people in our communities to thrive. We proudly work to provide extraordinary customer service and products to help our customers achieve their goals. We are currently seeking a Data Analyst to join our Business Intelligence team in Wichita, KS. This role is integral part in Emprise Bank’s business support data management and documentation. This role is eligible for hybrid scheduling. A successful candidate will have:Exemplary customer service experienceConfident and articulate communications skillsInitiative and strong work ethicEffectively manage and prioritize tasks to meet project deadlinesProblem resolution, critical and analytical thinking skillsStrong attention to detailThe ability to work independently Understanding of database design, techniques for data mining and data models Adept at querying and transforming dataThe ability to translate marketing requirements into data needsAble to treat highly confidential information with utmost urgencyAn understanding of and commitment to our valuesEssential functions of the role:Create data products that align with the bank’s strategic and business objectivesTransform and combine disparate company and/or external data into datasets usable for analysesAssist departments in their decision making by providing pertinent interpretations of the data Other duties as assigned within the scope of the roleUsing data mining to extract information from Emprise Bank data sets and identify correlations and patternsTroubleshooting the reporting database environment and reports.RequirementsBachelors’ degree or level of education that, together with industry experience, enables the applicant to meet the job requirementsExperience with SQL query preferredExperience with a BI visualization tools such as Tableau or PowerBI preferredExperience with Python or PySpark preferredFamiliarity with Azure cloud environment preferredThis role is not eligible for Visa sponsorship. Benefits In addition to a competitive salary and benefits, Emprise offers professional growth, a rewarding and challenging environment, opportunities to be involved in our communities, and a culture of integrity, passion, and success. We also offer shift differential pay for bilingual candidates! At Emprise Bank, empowering people to thrive means having an all-inclusive culture that honors our commitment to all dimensions of diversity in our workforce and embraces inclusion of all people. People of color, women, LGBTQIA+, veterans, and persons with disabilities are encouraged to apply. To learn more, please visit our website at www.emprisebank.com. Emprise Bank is an EEO/AA/ADA/Veteran Employer/Member FDIC/Drug Free Workplace.","Wichita, KS"
401,Data Analyst II,"$58,650 - $114,000 a year -  Full-time",Principal Financial Group," Responsibilities:     Principal is searching for a top talent to join our team as a Sr. Data Analyst with a focus on Diversity and Inclusion analytics. This person will be a key member of the People Analytics team primarily supporting the Global Inclusion Office. The ideal candidate will be an analytic thinker with Equal Employment Opportunity /Affirmative Action Program reporting and analysis experience or equivalence. The role will lead all D&I reporting, including determining efficient ways to produce existing reports, as well as future reports. The Global Inclusion Office will also look to this person to evaluate and inform initiatives based on produced analytic results and drivers. As such, there will be a dotted line to the Chief Inclusion Officer and report to the Director – Data Analytics. Additionally, it is expected that this person helps with broader people analytic opportunities.  As a Sr Data Analyst, you will:  Consult with HR stakeholders to understand their Diversity and Inclusion needs, strategies, and questions. Design, build, and iterate on Diversity and Inclusion products that support stakeholder decision making. Investigate trends in Diversity and Inclusion data, applying sound reasoning, data analysis and data visualization to inform decisions. Collaborate with the Diversity and Inclusion Office team to propel insights into action. Create and document best practices to ensure ongoing compliance with federal and state laws Day to day responsibilities will include:  Consulting with Diversity and Inclusion team to execute on analytical projects designed to meet their needs. Develop and deliver dashboards, trends , and analysis projects that are customized to answer Diversity and Inclusion questions. Highlight significant Diversity and Inclusion findings with excellent data storytelling, presenting analysis results, insights, and recommended actions. Efficiently aggregate, cleanse, prepare and present data. Develop & maintain Diversity and Inclusion programs that provide regular reports and metrics efficiently and on time. Work with senior team members on large analytic projects, providing data, dashboards and analysis that contributes to a larger objective. Work closely with partners in data governance, privacy, and technology to ensure accurate, compliant, and ethical use of data. Maintain perspective on state of the art and impactful analytic trends, especially as they relate to Diversity and Inclusion and People Analytics Qualifications     Principal is searching for a top talent to join our team as a Sr. Data Analyst with a focus on Diversity and Inclusion analytics. This person will be a key member of the People Analytics team primarily supporting the Global Inclusion Office. The ideal candidate will be an analytic thinker with Equal Employment Opportunity /Affirmative Action Program reporting and analysis experience or equivalence. The role will lead all D&I reporting, including determining efficient ways to produce existing reports, as well as future reports. The Global Inclusion Office will also look to this person to evaluate and inform initiatives based on produced analytic results and drivers. As such, there will be a dotted line to the Chief Inclusion Officer and report to the Director – Data Analytics. Additionally, it is expected that this person helps with broader people analytic opportunities.    As a Sr Data Analyst, you will:    Consult with HR stakeholders to understand their Diversity and Inclusion needs, strategies, and questions. Design, build, and iterate on Diversity and Inclusion products that support stakeholder decision making. Investigate trends in Diversity and Inclusion data, applying sound reasoning, data analysis and data visualization to inform decisions. Collaborate with the Diversity and Inclusion Office team to propel insights into action. Create and document best practices to ensure ongoing compliance with federal and state laws Day to day responsibilities will include:    Consulting with Diversity and Inclusion team to execute on analytical projects designed to meet their needs. Develop and deliver dashboards, trends , and analysis projects that are customized to answer Diversity and Inclusion questions. Highlight significant Diversity and Inclusion findings with excellent data storytelling, presenting analysis results, insights, and recommended actions. Efficiently aggregate, cleanse, prepare and present data. Develop & maintain Diversity and Inclusion programs that provide regular reports and metrics efficiently and on time. Work with senior team members on large analytic projects, providing data, dashboards and analysis that contributes to a larger objective. Work closely with partners in data governance, privacy, and technology to ensure accurate, compliant, and ethical use of data. Maintain perspective on state of the art and impactful analytic trends, especially as they relate to Diversity and Inclusion and People Analytics Qualifications:  Bachelor's degree in STEM field or equivalent plus 3+ years experience. Math, science, or business degrees preferred. Knowledge of data visualization theories, basic statistics, and database concepts. Results orientated ability to handle multiple projects that deal with high level of confidential data Proficiency in R or Python, SQL, and PowerBI Ability to communicate a cohesive story illustrating insights that stem from analytic projects. Strong consideration given to candidates with: Graduate level coursework in Industrial/Organizational Psychology or related fields experience in talent and/or people analytics Theoretical knowledge or practical experience with analyzing workforce data Experience with AWS or other cloud platforms is desired. Salary Range Information: Salary ranges below reflect targeted base salaries. Non-sales positions have the opportunity to participate in a bonus program. Sales positions are eligible for sales incentives, and in some instances a bonus plan, whereby total compensation may far exceed base salary depending on individual performance. Actual compensation for all roles will be based upon geographic location, work experience, education, licensure requirements and/or skill level and will be finalized at the time of offer. Salary Range: $58650 - $114000 / year Additional Information:   Work Environment This role offers the ability for in-office, hybrid (blending both office and remote work in a typical workweek), and/or remote work arrangements. You’ll work with your leader to determine which option may align best based on several factors. Work Authorization/Sponsorship At this time, we're not considering candidates that need any type of immigration sponsorship (additional work authorization or permanent work authorization) now or in the future to work in the United States? This includes, but IS NOT LIMITED TO: F1-OPT, F1-CPT, H-1B, TN, L-1, J-1, etc. For additional information around work authorization needs please use the following links. https://www.uscis.gov/working-in-the-united-states/temporary-nonimmigrant-workers and https://www.uscis.gov/green-card/green-card-eligibility/green-card-for-employment-based-immigrants Investment Code of Ethics For Principal Global Investors positions, you’ll need to follow an Investment Code of Ethics related to personal and business conduct as well as personal trading activities for you and members of your household. These same requirements may also apply to other positions across the organization. Experience Principal While our expertise spans the globe, we're bound by one common purpose: to foster a world where financial security is accessible to all. And our success depends on the unique experiences, backgrounds, and talents of our employees – individually and all of us together. Explore our core values, benefits and why we’re an exceptional place to grow your career. Principal is an Equal Opportunity Employer   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.  LinkedIn Remote Hashtag   #LI-Remote LinkedIn Remote Hashtag : #LI-Remote","Des Moines, IA 50392"
402,2022-2023 1.0FTE Data Analyst - SIMAR,Full-time,Scottsdale USD 48,"PAY GRADE: Support Exempt K FLSA STATUS: Exempt POSITION OBJECTIVE: The position of Data Analyst is for the purpose of managing data collection, analysis, reporting, and developing/supporting software applications to assist school and district administrations in improving student learning. DUTIES & RESPONSIBILITIES: (These duties are a representative sample; position assignments may vary.) Analyze local, state and other data. Collect & analyze quantitative and qualitative academic and non-academic data. Use data and data tracking systems to inform and support data-based decisions. Model data using MS Excel, ArcGIS, PowerBI and R and/or other data warehouse analytical tools. Develop custom software applications using latest ASP.NET with C#. Write custom queries using T-SQL. Support SIS and other district applications. Provide documentation and training to staff for the purpose of ensuring best use of new and existing software. Work with multiple projects concurrently, both independently and as a member of a collaborative team. Carry out any special projects or other tasks as assigned by supervisor. Other duties as assigned. EDUCATION & EXPERIENCE (positions in this class typically require): Bachelor’s Degree in Computer Science, related field, or equivalent Minimum of 3 to 5 years relevant work experience LICENSING REQUIREMENTS (positions in this class typically require):  Valid AZ Department of Public Safety Fingerprint Clearance Card KNOWLEDGE (position requirements at entry): Working knowledge of MS Office Products, Microsoft Visual Studio, ArcGIS, PowerBI, T-SQL, R, ASP.NET and C# SKILLS (position requirements at entry): Strong analytical and problem solving capabilities, including proficiency in the use of Microsoft Visual Studio, MS Office Products, ArcGIS, PowerBI, T-SQL, R, ASP.NET and C# ABILITY (position requirements at entry): Proven ability to effectively plan and organize the efforts of a team of technology support personnel. Proven ability to successfully work with multiple projects and daily operations in a fast-paced environment. Ability to effectively evaluate, guide, advice and train subordinates. Ability to communicate clearly and to interact effectively with personnel at all organizational levels. Ability to interact tactfully with other employees. Ability to work with speed and accuracy under stressful situations. Analytical and problem-solving abilities. PHYSICAL REQUIREMENTS: Positions in this class typically require: stooping, kneeling, crouching, reaching, standing, walking, pushing, pulling, lifting, finger dexterity, grasping, talking, hearing, seeing, and repetitive motions. Light Work: Exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for Sedentary Work and the worker sits most of the time. Incumbents may be subjected to moving mechanical parts, odors, chemicals, extreme temperatures, inadequate lighting, workspace restrictions, and intense noises. NOTE: The above job description is intended to represent only the key areas of responsibilities; specific position assignments will vary depending on the business needs of the department.","Phoenix, AZ 85018"
403,Data Analyst - Support Services,Full-time,NewYork-Presbyterian Hospital,"Location New York, New York  Shift: Day (United States of America)  Description: Data Analysts Drive Change at New York’s #1 Hospital:You Can Help Make It Possible Data Analyst – Support Services At NewYork-Presbyterian, Data Analysts are essential to our continued advancement as New York’s #1-ranked hospital (U.S.News & World Report). With each achievement, we demonstrate a commitment to excellence that’s both unwavering and unsurpassed. Now, you can help Make It Possible. In this role as a Data Analyst, you'll be responsible for analyzing, verifying and maintaining data that measures outcomes, patient satisfaction, patient activity and productivity. Reconcile data, manage billing, and use your IT technical skills to build strong relationships with Clinical Care teams throughout the organization. This position requires strong analytical abilities and the ability to tell a story with data. Preferred Criteria: Master’s degree in healthcare management, math, economics, or statistics Required Criteria: Bachelor’s Degree Minimum of 1 – 3 years of related experience Proficient in MS Office (Excel, Word, Excel, PowerPoint, Project) Experience in basic data analysis (such as Excel filtering or pivoting) Strong analytical skills with the ability to collect, organize, analyze, interpret and visualize data from multiple sources with attention to detail and accuracy Join a healthcare system where employee engagement is at an all-time high. Here we foster a culture of respect, diversity, and inclusion. Enjoy comprehensive and competitive benefits that support you and your family in every aspect of life. Start your life-changing journey today. __________________ #1 in New York, ""America's Best Hospitals 2021-2022."" - U.S.News & World Report 2021 ""Employees' Choice Awards: Best Places to Work"" - Glassdoor 2021 "" Best Workplaces in Health Care & Biopharma"" - Fortune 2020 ""America's Best Employers in New York State"" - Forbes 2020 ""Working Mother 100 Best Companies"" - Working Mother 2020 ""Best Companies for Multicultural Women"" - Working Mother 2020 ""Best Workplace for Men in Nursing"" - American Association for Men in Nursing  Discover why we're #1 in New York and a best employer at: nyp.org/careers NewYork-Presbyterian Hospital is an equal opportunity employer.","New York, NY 10032"
404,Data Analyst,Full-time,Paypal,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.Job Description Summary: Credit data platforms oversee implementing unique, best-of-breed data solutions using cutting-edge technologies and delivering data solutions that are highly available, scalable, and process data at a massive scale. We seek a highly motivated and talented Senior Data Analyst to join the Credit Data Platform team. As a Data Analyst, you will work with stakeholders to define state-of-the-art, large-scale data platforms, and assets Tools. This is a unique opportunity to join the data product team, solve complex data problems, and impact product strategy through data-driven solutions in a rapidly changing environment. If you are passionate about building data-centric products, this is your job!Job Description: The credit data platform team core charter builds best-in-class data solutions to help bring value to the Credit business. We are looking for an individual who is eager to explore new data while being proficient enough in the existing data to support the business stakeholders who are looking to leverage it in their last-mile solutions. The role will involve understanding business requirements ability to translate & implement solutions in a scalable and consistent way using appropriate tools. The role will be responsible for supporting global stakeholder departments, working domain leads, and data citizens across different locations such as the Americas, EMEA, and the Asia Pacific because the position requires interaction with geographically disbursed teams, so the candidate must be a self-starter with strong leadership qualities, project/task management skills, analytical skills and comfortable working with distributed teams. Bachelor’s degree in computer science or engineering discipline with a solid quantitative aptitude Work cross-functionally and cultivate strong partnerships with business stakeholders, business leads, subject matter experts, and technical staff to gather and develop business needs in technical requirements. Identifying and refining current and future‐state business processes by performing deep-dive analysis of the current state and proposing future state solutions effectively using clear and precise documentation Motivation to understand business processes and data platforms to design/deliver scalable data solutions to support customer needs Good understanding of database principles and hands-on experience in advanced SQL to perform complex analysis. Expert knowledge of data modeling concepts; experience with data modeling and generating metadata to support relational & non-relational database implementations; experience building logical and physical data models. Good understanding of distributed systems (Teradata, BiqQuery), data movement, and optimizing ETL processing of vast datasets with specified SLAs. Knowledge of Big data environments and Cloud services (GCP) is a plus. Collaborate closely with the engineering team and provide ongoing support to help implement end-user requirements Ensure the consistency and quality of data solutions completed by the engineering team. Prior knowledge of any analytical visualization tools like Tableau and QlikView is desirable. Document data solutions for easy business consumption. Strong communication skills, both written and verbal, and skilled at adjusting communication style/vocabulary to an audience’s role/function and technical familiarity Basic knowledge and understanding of financial services, especially the credit systems. Proficient in Microsoft Office tools like Excel, PowerPoint, and SharePoint.Our Benefits: At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: Click Here to learn more about our culture and community. PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.","Timonium, MD"
405,2022-2023 1.0FTE Data Analyst - SIMAR,"$67,421 - $77,125 a year -  Full-time",Scotsdale Unified School District,"The position of Data Analyst is for the purpose of managing data collection, analysis, reporting, and developing/supporting software applications to assist school and district administrations in improving student learning.DUTIES & RESPONSIBILITIES: (These duties are a representative sample; position assignments may vary.)Analyze local, state and other data.Collect & analyze quantitative and qualitative academic and non-academic data.Use data and data tracking systems to inform and support data-based decisions.Model data using MS Excel, ArcGIS, PowerBI and R and/or other data warehouse analytical tools.Develop custom software applications using latest ASP.NET with C#.Write custom queries using T-SQL.Support SIS and other district applications.Provide documentation and training to staff for the purpose of ensuring best use of new and existing software.Work with multiple projects concurrently, both independently and as a member of a collaborative team.Carry out any special projects or other tasks as assigned by supervisor.Other duties as assigned.EDUCATION & EXPERIENCE (positions in this class typically require):Bachelor’s Degree in Computer Science, related field, or equivalentMinimum of 3 to 5 years relevant work experienceLICENSING REQUIREMENTS (positions in this class typically require):Valid AZ Department of Public Safety Fingerprint Clearance CardKNOWLEDGE (position requirements at entry):Working knowledge of MS Office Products, Microsoft Visual Studio, ArcGIS, PowerBI, T-SQL, R, ASP.NET and C#SKILLS (position requirements at entry):Strong analytical and problem solving capabilities, including proficiency in the use of Microsoft Visual Studio, MS Office Products, ArcGIS, PowerBI, T-SQL, R, ASP.NET and C#ABILITY (position requirements at entry):Proven ability to effectively plan and organize the efforts of a team of technology support personnel.Proven ability to successfully work with multiple projects and daily operations in a fast-paced environment.Ability to effectively evaluate, guide, advice and train subordinates.Ability to communicate clearly and to interact effectively with personnel at all organizational levels.Ability to interact tactfully with other employees.Ability to work with speed and accuracy under stressful situations.Analytical and problem-solving abilities.PHYSICAL REQUIREMENTS: Positions in this class typically require: stooping, kneeling, crouching, reaching, standing, walking, pushing, pulling, lifting, finger dexterity, grasping, talking, hearing, seeing, and repetitive motions. Light Work: Exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for Sedentary Work and the worker sits most of the time. Incumbents may be subjected to moving mechanical parts, odors, chemicals, extreme temperatures, inadequate lighting, workspace restrictions, and intense noises.NOTE: The above job description is intended to represent only the key areas of responsibilities; specific position assignments will vary depending on the business needs of the department.",
406,Data Analyst,Full-time,Morgan Stanley,"  Data Analyst  Job Number:3214818   POSTING DATE: May 20, 2022    PRIMARY LOCATION: Americas-United States of America-New York-New York    EDUCATION LEVEL: Bachelor's Degree    JOB: Wealth Management    EMPLOYMENT TYPE: Full Time    JOB LEVEL: Associate  DESCRIPTION COMPANY PROFILEMorgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 1,200 offices in 43 countries. As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence, and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.   Job Description:     The Analytics & Data Organization is part of Morgan Stanley’s Wealth Management Division. The organization’s responsibility is to support Wealth Management’s strategic objectives through the use and exploitation of its data and analytical assets. Key focus areas will be in support of organic growth through the digitization and delivery of investment advice; partnering with each business area by providing them the tools, expertise, and support for them to understand and analyze their own data; and to make data and analytics a differentiated capability for the firm.  Job Responsibilities:    Work with stakeholders across Wealth Management teams to provide data driven insights to support digital strategic direction and solutions.       Develop reports and dashboards to provide findings and insights to business partners, product owners, or senior leadership.       Analyze user behavior across our different products and verticals.       Create, own, and manage recurring analysis or reporting.   Perform ad-hoc analysis to help stakeholders get a quick answer to their business questions and provide actionable next steps.QUALIFICATIONS Required:    Has 0-3 years business/data analytics and project management experience       Has a Bachelor’s Degree       Strong analytical skills with the ability to query large datasets and present data in visualization tools       Is Highly motivated / self-starter with a sense of ownership, willingness to learn, high degree of curiosity and desire to succeed       Has a strong attention to detail and the ability to handle multiple tasks and projects concurrently   Has ability to work both independently and collaboratively across multiple business units, teams, and job functionsDesired skills:    Consulting or business strategy background       Experience on working with technology teams closely to drive execution       Background in the Financial Services Industry, with an emphasis on wealth management        Experience with SQL, Adobe Analytics, Google Analytics, or DataIku    Data visualization experience (e.g. Tableau, QlikView) This role requires that all successful applicants be fully vaccinated against COVID-19 as a condition of employment and provide proof of such vaccinations within 3 days of commencement of employment","New York, NY 10036"
407,Data Analyst,Full-time,National Interstate,"  National Interstate is a member of Great American Insurance Group. As one of the leading commercial transportation insurers in the nation, we offer risk financing solutions in all 50 states tailored to meet the needs of a wide variety of transportation classes. Our offerings include traditional insurance and innovative alternative risk transfer (ART) programs, including more than a dozen group captive programs catering to niche wheels markets. We are proud to be a multiple Northcoast 99 winner and Cleveland Plain Dealer Top Workplace in Northeast Ohio. It is because of our talented and dedicated team that we are able to live out our company values of integrity, transparency, fairness, accountability, empowerment and collaboration with each transaction we make. If you are ready to join an engaging and driven team such as ours, we would love to hear from you!    Essential Job Functions and Responsibilities  Prepares basic financial and business related analysis and reporting. Defines business and legal reporting requirements through research, interpretation of regulations, and business unit requests to meet customer needs. Learns to effectively utilize reporting procedures that designate the use of check lists, submission logs, data transmissions, and data receipt confirmations. Collects and analyzes data for validity and accuracy in preparation of assigned reports. Assists in the development and maintenance of department databases and assesses quality of data used in routine reports. Develops knowledge of data sources content and structure to assess the quality of data.    Begins to identify and make recommendations for resolution of identified issues in data and reporting quality. Utilizes department/company software to prepare basic data queries. Developing understanding of industry products/coverages and applies that knowledge to support business activity. Performs other duties as assigned.   Job Requirements    Education: Bachelor’s Degree or equivalent experience.    Field of Study: Business, Finance, Accounting, Computer Science or related discipline.    Experience: 1 to 3 years of related experience. Developing knowledge in relational database tools (i.e., SQL, Cognos, etc.). Previous experience in the insurance industry preferred. Beginning coursework toward certification in area of expertise preferred; appropriate certifications could include; an Associate Insurance Data Manager (AIDM), or Certificate in General Insurance (INS).    Company:  NIC National Interstate Corporation    Number of Positions:  1","Richfield, OH 44286"
408,LRS/GIS Data Analyst - Research Analyst,"$20.91 - $30.24 an hour -  Full-time, Temporary",State of Minnesota,"What drives you? At MnDOT, we are driven to find talented, innovative employees for Minnesota’s nationally recognized transportation system. We work to build the best team in the transportation industry to ensure that Minnesota thrives with a safe, sustainable and leading edge transportation system. You will be surrounded by a diverse community of experts, each driven by challenging work and motivated by the greater good. You will understand the impact of the work you are doing and be able to see the benefit you are providing to the citizens of Minnesota. You can set your sights high and use your strengths to grow within the organization. MnDOT offers superior health and retirement benefits as well as a solid commitment to work-life balance, which provides you the tools to thrive both at work and outside of work. Job DetailsJob Class: Research Analyst Working Title: LRS/GIS Data AnalystWho May Apply: Open to all qualified job seekersDate Posted: 06/09/2022Closing Date: 06/15/2022Hiring Agency/Seniority Unit: Transportation Dept / Transportation-MAPEDivision/Unit: Investment Management / Transportation System MgmtWork Shift/Work Hours: Day ShiftDays of Work: Monday - FridayTravel Required: NoSalary Range: $20.91 - $30.24/hourly; $43,660 - $63,141/annuallyClass Option: Geographic Info SystemsClassified Status: ClassifiedBargaining Unit/Union: 214 - MN Assoc of Professional Empl/MAPEEnd Date: 1 year from start dateFLSA Status: NonexemptConnect 700 Program Eligible: NoJob Summary**MnDOT does not sponsor applicants for work visas or Optional Practical Training Extensions for STEM Students. Individuals must be legally authorized to work in the US at the start of employment. ATTENTION APPLICANTS: This is a temporary position anticipated to last for one year. The purpose of this position is to research, analyze, prepare, and enter spatial data into the Linear Referencing System (LRS) through the use of Esri’s Roads & Highways (R&H) and corresponding attribute data through use of Esri’s Roadway Event Editor (EE). This position will assist with the coordination of the capture, storage, maintenance, manipulation, and auditing of location data and assist with location integration services to ensure data accuracy, precision, and compliance. Research and analyze data to ensure integrity and standardization. This position will assist with the technical support to migrate users to a complex GIS linear reference system application, as well as assistance to professional co-workers. The position is located at Central Office in St. Paul. This position will have the option to telework; the employee will be required to complete a telework agreement. QualificationsMinimum Qualifications       Bachelor's degree in geography, geographical information system, surveying, engineering, planning, or computer science; OR            One year of professional geographical information system (GIS) experience; OR            Two years of technical experience in GIS, surveying, mapping, cartography, or a closely related field.            Experience must also demonstrate the following:             Working knowledge of databases and spreadsheets, including Excel, sufficient to process and track computer files used in data collection and processing.                Ability to thoroughly and accurately review large amounts of data to find/correct errors.                Knowledge and skills in processing, analyzing, and managing GIS data and corresponding metadata.              An       associate degree in math, statistics, data science, or a related field may substitute for six months of professional geographical information system (GIS) experience.      Preferred QualificationsDemonstrated strong working knowledge of Roadway Data and GIS linear reference application components and system.Knowledge and skill in researching, interpreting road construction plans, route system resolutions, and legal land descriptions. Additional Requirements **Successful candidate must pass past-employer reference checks and criminal history check** It is our policy that all candidates submit to a background investigation prior to employment. The background check may consist of the following components: SEMA4 Records Check, Criminal History Check, Employment Reference Check, Driver’s License Check, Education/License Verification and Pre-Employment Physical. Application DetailsWhy Work For Us GREAT BENEFITS PACKAGE! The State of Minnesota offers a comprehensive benefits package including low cost medical and dental insurance, employer paid life insurance, short and long term disability, pre-tax flexible spending accounts, retirement plan, tax-deferred compensation, generous vacation and sick leave, and 11 paid holidays each year. This position is located in Minnesota's great capital city, Saint Paul. The State of Minnesota offers employees a subsidy for public transportation allowing for convenient and easy access to commute to work. Ride the new METRO ""Green Line"" Light Rail Train to work! The Rice/Capitol Station is located close by. Our differences make us stronger and leveraging them helps us create a workforce where everyone can thrive. The State of Minnesota is an equal opportunity employer. We are committed to embedding diversity, equity, inclusion, and accessibility at our workplace. We do this by developing strong leaders and advocates, increasing cultural competence and understanding among all employees, and removing institutional barriers and attitudes that prevent employees from advancing as far as their talents will take them. We prohibit discrimination and harassment of any kind based on race, color, creed, religion, national origin, sex (including pregnancy, childbirth and related medical conditions), marital status, familial status, receipt of public assistance, membership or activity in a local human rights commission, disability, genetic information, sexual orientation, gender expression, gender identity, or age. How to Apply Select “Apply for Job” at the top of this page. If you have questions about applying for jobs, contact the job information line at 651-259-3637. For additional information about the application process, go to http://www.mn.gov/careers. Contact If you have questions about the position, contact Alyssa Tardif at alyssa.tardif@state.mn.us or 612/258-5188. AN EQUAL OPPORTUNITY EMPLOYER The State of Minnesota is an equal opportunity, affirmative action, and veteran-friendly employer. We are committed to providing culturally responsive services to all Minnesotans. The State of Minnesota recognizes that a diverse workforce is essential and strongly encourages qualified women, minorities, individuals with disabilities, and veterans to apply. Minnesota Department of Transportation (MnDOT) encourages participation in all its programs, services and activities and does not discriminate against qualified applicants with disabilities. Anyone who believes they may need a reasonable accommodation in order to fully participate in the job application, interview or selection processes may contact any agency official with whom applicant has contact in the processing of their employment application to request an accommodation. Applicants may also contact the MnDOT Affirmative Action office to request an accommodation by: E-mail: ADArequest.dot@state.mn.us; or by calling Janet Miller at tel:651/366-4720; or using MN Relay 711. The MnDOT Reasonable Accommodation policy can be found at: http://www.dot.state.mn.us/policy/hr/hr009.html.","Saint Paul, MN"
